area,n_neurons,pair,metric,max_distance_observed,max_distance_null_p95,empirical_p_value,onset_frame,onset_ms,analysis,session
V1,5485,Clip/Monet2,full,14.627428341788098,16.201581602020664,0.6190476190476191,,,all_neurons,7_5
V1,5485,Clip/Trippy,full,17.064840272925387,16.71907021614314,0.0952380952380952,3.0,400.0,all_neurons,7_5
V1,5485,Monet2/Trippy,full,19.959935010900157,21.246120711754248,0.4761904761904761,,,all_neurons,7_5
V1,5485,Clip/Monet2,top3_pc,9.870586313572906,4.930562897537028,0.0476190476190476,2.0,266.6666666666667,all_neurons,7_5
V1,5485,Clip/Trippy,top3_pc,12.05282854560685,4.9744168750892985,0.0476190476190476,0.0,0.0,all_neurons,7_5
V1,5485,Monet2/Trippy,top3_pc,12.943260689043186,6.732436303647338,0.0476190476190476,1.0,133.33333333333334,all_neurons,7_5
AL,414,Clip/Monet2,full,4.2839406045754975,4.760884391866779,0.4285714285714285,,,all_neurons,7_5
AL,414,Clip/Trippy,full,4.407429786528543,4.633140510683149,0.3333333333333333,5.0,666.6666666666666,all_neurons,7_5
AL,414,Monet2/Trippy,full,5.3047985924417445,6.139685383970199,0.7142857142857143,,,all_neurons,7_5
AL,414,Clip/Monet2,top3_pc,3.2424314148182662,2.258897584248218,0.0476190476190476,3.0,400.0,all_neurons,7_5
AL,414,Clip/Trippy,top3_pc,2.925675122280291,1.6780501308506088,0.0476190476190476,3.0,400.0,all_neurons,7_5
AL,414,Monet2/Trippy,top3_pc,3.267326317794788,2.984864737739091,0.0952380952380952,,,all_neurons,7_5
LM,1262,Clip/Monet2,full,7.550575455161074,7.972620243049974,0.2857142857142857,3.0,400.0,all_neurons,7_5
LM,1262,Clip/Trippy,full,7.875697958398963,8.242355854593395,0.1904761904761904,3.0,400.0,all_neurons,7_5
LM,1262,Monet2/Trippy,full,9.477946247164711,10.45754911328931,0.5714285714285714,,,all_neurons,7_5
LM,1262,Clip/Monet2,top3_pc,5.833795286681608,2.338014799419741,0.0476190476190476,0.0,0.0,all_neurons,7_5
LM,1262,Clip/Trippy,top3_pc,5.940579461527741,2.0639153795394227,0.0476190476190476,0.0,0.0,all_neurons,7_5
LM,1262,Monet2/Trippy,top3_pc,6.358764682180527,2.993880115712687,0.0476190476190476,1.0,133.33333333333334,all_neurons,7_5
RL,1033,Clip/Monet2,full,6.931049995513758,6.848226688916153,0.0952380952380952,3.0,400.0,all_neurons,7_5
RL,1033,Clip/Trippy,full,7.631583044055113,7.572918623996063,0.0952380952380952,3.0,400.0,all_neurons,7_5
RL,1033,Monet2/Trippy,full,8.675280215664953,9.389527654585356,0.2857142857142857,,,all_neurons,7_5
RL,1033,Clip/Monet2,top3_pc,5.526025508882399,2.099667953073493,0.0476190476190476,0.0,0.0,all_neurons,7_5
RL,1033,Clip/Trippy,top3_pc,5.156571491687581,1.9637526213257257,0.0476190476190476,0.0,0.0,all_neurons,7_5
RL,1033,Monet2/Trippy,top3_pc,5.932836341983061,2.827927133424772,0.0476190476190476,1.0,133.33333333333334,all_neurons,7_5
